nombres,apellidos,promedio
Pedro,Ramirez,4.766666666666667
Camila,Castro,4.7
Mateo,Lopez,4.666666666666667
Diego,Martinez,4.633333333333334
Camila,Perez,4.633333333333334
Carlos,Rodriguez,4.6000000000000005
Valentina,Rodriguez,4.566666666666666
Andres,Rojas,4.566666666666666
Pedro,Rojas,4.566666666666666
Daniel,Rodriguez,4.5
Sofia,Vargas,4.5
Maria,Rojas,4.466666666666667
Juan,Vargas,4.466666666666667
Carlos,Lopez,4.466666666666667
Carlos,Gomez,4.3999999999999995
Daniel,Perez,4.366666666666666
Valentina,Martinez,4.333333333333333
Pedro,Vargas,4.266666666666667
Maria,Ramirez,4.133333333333334
Daniel,Vargas,4.133333333333334
Camila,Jimenez,4.133333333333334
Laura,Rojas,4.125
Juan,Vargas,4.1000000000000005
Pedro,Vargas,4.1
Laura,Castro,4.066666666666666
Andres,Lopez,4.033333333333333
Maria,Castro,4.033333333333333
Diego,Gomez,3.966666666666667
Camila,Perez,3.966666666666667
Carlos,Martinez,3.966666666666667
Camila,Vargas,3.966666666666667
Ana,Castro,3.9333333333333336
Pedro,Lopez,3.9
Juan,Jimenez,3.9
Daniel,Ramirez,3.9
Pedro,Ramirez,3.8666666666666667
Juan,Hernandez,3.8333333333333335
Pedro,Vargas,3.766666666666667
Carlos,Vargas,3.6333333333333333
Andres,Lopez,3.6333333333333333
Laura,Martinez,3.6
Ana,Gomez,3.6
Diego,Perez,3.5
Pedro,Martinez,3.5
Pedro,Jimenez,3.4333333333333336
Lucia,Perez,3.3666666666666667
Laura,Hernandez,3.3666666666666667
Juan,Perez,3.3666666666666667
Laura,Perez,3.3333333333333335
Lucia,Lopez,3.266666666666667
Andres,Lopez,3.266666666666667
Juan,Gomez,3.233333333333333
Ana,Gomez,3.233333333333333
Juan,Gomez,3.1999999999999997
Lucia,Rojas,3.1999999999999997
Andres,Castro,3.1999999999999997
Camila,Gomez,3.1999999999999997
Mateo,Ramirez,3.1333333333333333
Andres,Perez,3.1
Carlos,Ramirez,3.0666666666666664
Camila,Castro,3.0666666666666664
Daniel,Perez,3.0
Lucia,Rojas,3.0
Ana,Vargas,2.966666666666667
Andres,Rodriguez,2.9333333333333336
Ana,Ramirez,2.9333333333333336
Valentina,Jimenez,2.9
