nombres,apellidos,promedio_estudiantes,cantidad_calificaciones
Dra. Pedro,Morales,4.61,9
Prof. Mateo,Suarez,4.38,9
Prof. Camila,Rojas,4.24,9
Dr. Ricardo,Silva,4.14,9
Dr. Elena,Santos,4.12,16
Dra. Sofia,Lopez,4.08,9
Dr. Andrés,Gómez,3.98,9
Prof. Jorge,Cruz,3.9,9
Dr. Juan,Perez,3.89,9
Dra. Daniela,Mendoza,3.84,9
Dr. Daniel,Jimenez,3.73,9
Prof. Diego,Ramirez,3.71,9
Prof. Ana,Torres,3.7,9
Dr. Felipe,Hernandez,3.59,9
Dra. Lucia,Ortega,3.56,9
Prof. Roberto,Vargas,3.54,18
Dra. Valentina,Castro,3.54,9
Dra. Laura,Martínez,3.46,13
Prof. Paola,Navarro,3.43,9
Dr. Natalia,Reyes,2.98,9
